order_date,cus_id,store_id,payment_method_id,coupon_id,status
2025-10-07 11:50:15,359,332,2,9.0,Success
2025-10-07 11:50:15,158,243,2,10.0,Success
2025-10-07 11:50:15,458,628,1,19.0,Success
2025-10-07 11:50:15,629,561,1,19.0,Success
2025-10-07 11:50:15,316,372,4,19.0,Success
2025-10-07 11:50:15,157,124,4,13.0,Success
2025-10-07 11:50:15,696,652,2,13.0,Success
2025-10-07 11:50:15,350,295,4,13.0,Success
2025-10-07 11:50:15,189,538,3,13.0,Success
2025-10-07 11:50:15,483,84,2,9.0,Success
2025-10-07 11:50:15,611,354,2,22.0,Success
2025-10-07 11:50:15,392,572,4,10.0,Success
2025-10-07 11:50:15,152,61,2,13.0,Success
2025-10-07 11:50:15,252,54,4,,Success
2025-10-07 11:50:15,382,288,4,19.0,Success
2025-10-07 11:50:15,354,317,3,,Success
2025-10-07 11:50:15,188,391,2,9.0,Success
2025-10-07 11:50:15,205,50,2,13.0,Success
2025-10-07 11:50:15,585,248,3,14.0,Success
2025-10-07 11:50:15,344,275,2,13.0,Success
2025-10-07 11:50:15,337,270,2,10.0,Success
2025-10-07 11:50:15,534,329,2,,Success
2025-10-07 11:50:15,374,176,4,,Success
2025-10-07 11:50:15,209,348,4,,Success
2025-10-07 11:50:15,431,562,4,22.0,Success
2025-10-07 11:50:15,59,393,2,10.0,Success
2025-10-07 11:50:15,375,645,3,,Success
2025-10-07 11:50:15,265,75,2,13.0,Success
2025-10-07 11:50:15,415,282,3,19.0,Success
2025-10-07 11:50:15,97,589,2,13.0,Success
2025-10-07 11:50:15,162,51,2,19.0,Success
2025-10-07 11:50:15,545,465,4,10.0,Success
2025-10-07 11:50:15,693,597,4,13.0,Success
2025-10-07 11:50:15,306,131,1,13.0,Success
2025-10-07 11:50:15,136,616,1,13.0,Success
2025-10-07 11:50:15,244,32,3,13.0,Success
2025-10-07 11:50:15,630,508,2,19.0,Success
2025-10-07 11:50:15,523,6,4,,Success
2025-10-07 11:50:15,430,457,1,22.0,Success
2025-10-07 11:50:15,709,628,3,22.0,Success
2025-10-07 11:50:15,60,282,3,14.0,Success
2025-10-07 11:50:15,628,511,2,13.0,Success
2025-10-07 11:50:15,416,525,1,19.0,Success
2025-10-07 11:50:15,468,148,1,,Success
2025-10-07 11:50:15,571,651,3,9.0,Success
2025-10-07 11:50:15,309,70,3,22.0,Success
2025-10-07 11:50:15,337,410,3,10.0,Success
2025-10-07 11:50:15,456,302,3,10.0,Success
2025-10-07 11:50:15,263,333,4,,Success
2025-10-07 11:50:15,411,344,3,22.0,Success
2025-10-07 11:50:15,286,141,4,19.0,Success
2025-10-07 11:50:15,461,452,4,14.0,Success
2025-10-07 11:50:15,281,301,2,10.0,Success
2025-10-07 11:50:15,490,238,3,22.0,Success
2025-10-07 11:50:15,224,648,1,13.0,Success
2025-10-07 11:50:15,367,133,4,19.0,Success
2025-10-07 11:50:15,484,548,3,14.0,Success
2025-10-07 11:50:15,13,381,4,,Success
2025-10-07 11:50:15,111,315,3,14.0,Success
2025-10-07 11:50:15,515,512,2,19.0,Success
2025-10-07 11:50:15,601,43,2,19.0,Success
2025-10-07 11:50:15,250,292,2,13.0,Success
2025-10-07 11:50:15,356,339,1,10.0,Success
2025-10-07 11:50:15,711,642,4,13.0,Success
2025-10-07 11:50:15,469,349,2,22.0,Success
2025-10-07 11:50:15,298,303,3,,Success
2025-10-07 11:50:15,449,652,3,9.0,Success
2025-10-07 11:50:15,340,124,4,9.0,Success
2025-10-07 11:50:15,235,200,4,9.0,Success
2025-10-07 11:50:15,391,416,3,10.0,Success
2025-10-07 11:50:15,625,423,1,10.0,Success
2025-10-07 11:50:15,632,446,1,14.0,Success
2025-10-07 11:50:15,178,144,3,10.0,Success
2025-10-07 11:50:15,253,146,1,14.0,Success
2025-10-07 11:50:15,623,243,3,13.0,Success
2025-10-07 11:50:15,308,583,4,,Success
2025-10-07 11:50:15,145,633,2,13.0,Success
2025-10-07 11:50:15,120,9,1,14.0,Success
2025-10-07 11:50:15,691,594,4,9.0,Success
2025-10-07 11:50:15,668,242,1,,Success
2025-10-07 11:50:15,685,631,3,,Success
2025-10-07 11:50:15,540,667,4,9.0,Success
2025-10-07 11:50:15,219,93,3,9.0,Success
2025-10-07 11:50:15,332,353,1,13.0,Success
2025-10-07 11:50:15,14,118,2,19.0,Success
2025-10-07 11:50:15,7,10,4,22.0,Success
2025-10-07 11:50:15,655,242,1,19.0,Success
2025-10-07 11:50:15,253,552,4,14.0,Success
2025-10-07 11:50:15,193,327,2,9.0,Success
2025-10-07 11:50:15,709,557,4,22.0,Success
2025-10-07 11:50:15,249,420,4,9.0,Success
2025-10-07 11:50:15,83,520,3,10.0,Success
2025-10-07 11:50:15,435,263,3,9.0,Success
2025-10-07 11:50:15,673,104,1,9.0,Success
2025-10-07 11:50:15,170,459,1,9.0,Success
2025-10-07 11:50:15,383,192,4,9.0,Success
2025-10-07 11:50:15,313,55,3,,Success
2025-10-07 11:50:15,234,449,1,,Success
2025-10-07 11:50:15,421,115,1,10.0,Success
2025-10-07 11:50:15,75,73,2,10.0,Success
2025-10-07 11:50:15,477,417,2,14.0,Success
2025-10-07 11:50:15,433,589,2,19.0,Success
2025-10-07 11:50:15,261,266,3,14.0,Success
2025-10-07 11:50:15,450,206,1,13.0,Success
2025-10-07 11:50:15,130,621,2,,Success
2025-10-07 11:50:15,578,628,2,10.0,Success
2025-10-07 11:50:15,440,131,2,9.0,Success
2025-10-07 11:50:15,496,101,3,,Success
2025-10-07 11:50:15,214,454,3,10.0,Success
2025-10-07 11:50:15,238,530,3,19.0,Success
2025-10-07 11:50:15,276,304,4,10.0,Success
2025-10-07 11:50:15,190,227,2,19.0,Success
2025-10-07 11:50:15,552,453,1,,Success
2025-10-07 11:50:15,215,407,4,19.0,Success
2025-10-07 11:50:15,52,514,3,10.0,Success
2025-10-07 11:50:15,61,180,2,,Success
2025-10-07 11:50:15,459,369,1,9.0,Success
2025-10-07 11:50:15,576,398,4,10.0,Success
2025-10-07 11:50:15,669,493,2,,Success
2025-10-07 11:50:15,439,539,4,13.0,Success
2025-10-07 11:50:15,120,69,4,14.0,Success
2025-10-07 11:50:15,287,206,1,,Success
2025-10-07 11:50:15,582,353,2,19.0,Success
2025-10-07 11:50:15,444,115,3,13.0,Success
2025-10-07 11:50:15,628,411,4,13.0,Success
2025-10-07 11:50:15,269,667,3,22.0,Success
2025-10-07 11:50:15,597,402,1,19.0,Success
2025-10-07 11:50:15,141,131,3,19.0,Success
2025-10-07 11:50:15,644,408,2,14.0,Success
2025-10-07 11:50:15,261,191,3,14.0,Success
2025-10-07 11:50:15,632,565,2,14.0,Success
2025-10-07 11:50:15,329,274,4,22.0,Success
2025-10-07 11:50:15,415,187,1,19.0,Success
2025-10-07 11:50:15,641,353,3,19.0,Success
2025-10-07 11:50:15,95,244,3,,Success
2025-10-07 11:50:15,637,407,1,10.0,Success
2025-10-07 11:50:15,133,571,1,14.0,Success
2025-10-07 11:50:15,519,220,3,19.0,Success
2025-10-07 11:50:15,249,509,4,9.0,Success
2025-10-07 11:50:15,487,56,3,,Success
2025-10-07 11:50:15,643,492,2,14.0,Success
2025-10-07 11:50:15,653,585,4,,Success
2025-10-07 11:50:15,126,202,4,13.0,Success
2025-10-07 11:50:15,54,531,4,10.0,Success
2025-10-07 11:50:15,676,463,1,,Success
2025-10-07 11:50:15,115,316,2,19.0,Success
2025-10-07 11:50:15,134,460,1,19.0,Success
2025-10-07 11:50:15,704,210,3,9.0,Success
2025-10-07 11:50:15,431,297,3,22.0,Success
2025-10-07 11:50:15,153,285,4,22.0,Success
2025-10-07 11:50:15,163,192,1,10.0,Success
2025-10-07 11:50:15,245,234,4,10.0,Success
2025-10-07 11:50:15,291,26,2,10.0,Success
2025-10-07 11:50:15,6,292,2,9.0,Success
2025-10-07 11:50:15,594,118,1,19.0,Success
2025-10-07 11:50:15,381,540,1,10.0,Success
2025-10-07 11:50:15,435,241,3,9.0,Success
2025-10-07 11:50:15,674,179,4,,Success
2025-10-07 11:50:15,541,510,1,13.0,Success
2025-10-07 11:50:15,342,206,2,13.0,Success
2025-10-07 11:50:15,112,318,4,14.0,Success
2025-10-07 11:50:15,246,471,2,,Success
2025-10-07 11:50:15,171,266,4,13.0,Success
2025-10-07 11:50:15,309,487,3,22.0,Success
2025-10-07 11:50:15,555,514,3,14.0,Success
2025-10-07 11:50:15,542,69,3,13.0,Success
2025-10-07 11:50:15,617,299,1,14.0,Success
2025-10-07 11:50:15,631,583,3,,Success
2025-10-07 11:50:15,98,590,3,22.0,Success
2025-10-07 11:50:15,230,461,3,22.0,Success
2025-10-07 11:50:15,62,252,2,22.0,Success
2025-10-07 11:50:15,358,41,1,19.0,Success
2025-10-07 11:50:15,713,230,4,9.0,Success
2025-10-07 11:50:15,231,630,2,22.0,Success
2025-10-07 11:50:15,237,172,2,10.0,Success
2025-10-07 11:50:15,269,170,4,22.0,Success
2025-10-07 11:50:15,464,664,1,22.0,Success
2025-10-07 11:50:15,343,30,1,9.0,Success
2025-10-07 11:50:15,605,85,4,13.0,Success
2025-10-07 11:50:15,619,423,1,19.0,Success
2025-10-07 11:50:15,240,365,3,9.0,Success
2025-10-07 11:50:15,459,151,1,9.0,Success
2025-10-07 11:50:15,175,158,4,13.0,Success
2025-10-07 11:50:15,97,500,4,13.0,Success
2025-10-07 11:50:15,455,170,4,14.0,Success
2025-10-07 11:50:15,59,531,2,10.0,Success
2025-10-07 11:50:15,304,114,4,9.0,Success
2025-10-07 11:50:15,579,131,4,14.0,Success
